TableName,ID,EN_UK,EN_UK_Shorten,TH_TH,JP_JP,Comment,Comment_1,Comment_2
,1110,Captain Blackstone: 'Prepare to repel boarders!',,,,,,
,1111,<MN> calls for help!,,,,,,
,1112,<MN> summons her minions with a terrifying roar!,,,,,,
,1113,,,,,,,
,1114,,,,,,,
,1115,Surprise!,,,,,,
,1116,<MN> stamps the ground, causing a raging inferno to erupt around her!,,,,,,
,1117,,,,,,,
,1118,,,,,,,
,1119,,,,,,,
,1120,,,,,,,
,1121,,,,,,,
,1122,<MN> calls for help!,,,,,,
,1123,,,,,,,
,1124,,,,,,,
,1125,,,,,,,
,1126,,,,,,,
,1127,,,,,,,
,1128,,,,,,,
,1129,,,,,,,
,1130,,,,,,,
,1131,,,,,,,
,1132,,,,,,,
,1133,,,,,,,
,1134,,,,,,,
,1135,,,,,,,
,1136,,,,,,,
,1137,,,,,,,
,1138,,,,,,,
,1139,<MN> begins winding up for a powerful attack!,,,,,,
,1140,<MN> begins winding up for a powerful attack!,,,,,,
,1141,<MN> begins to feed on dark energy!,,,,,,
,1142,,,,,,,
,1143,<MN> has become enraged!,,,,,,
,1144,,,,,,,
,1145,<MN> begins to growl with rage!,,,,,,
,1146,<MN> calls for help!,,,,,,
,1147,<DEBUG>,,,,,,
,1148,<MN> shrouds herself in a cloak of chaos!,,,,,,
,1149,,,,,,,
,1150,<MN>: 'The Morrigan will not let you fall, Mordris!',,,,,,
,1151,,,,,,,
,1152,,,,,,,
,1153,<MN>: 'Cursed mortals, none will escape the wrath of the Morrigan!',,,,,,
,1154,signal,,,,,,
,1155,efffect,,,,,,
,1156,<MN> calls for help!,,,,,,
,1157,<MN>: 'Swarm to me my fiendish servants!',,,,,,
,1158,<MN> seeks out a new victim.,,,,,,
,1159,<MN>: 'Fools! I've mastered the power of life and death.',,,,,,
,1160,<MN> begins to drain the life from his surroundings!,,,,,,
,1161,<MN> drains the life from those around him with an icy blast!,,,,,,
,1162,,,,,,,
,1163,,,,,,,
,1164,,,,,,,
,1165,<MN> calls for help!,,,,,,
,1166,,,,,,,
,1167,,,,,,,
,1168,<MN>: 'Destroy them my minions. Grind them into dust.',,,,,,
,1169,,,,,,,
,1170,,,,,,,
,1171,<MN>: 'Ach, I hate getting snow in my beard!',,,,,,
,1172,<MN>: 'I give up! I give... Argh!',,,,,,
,1173,<MN>: 'I'll get you next time! Next time!',,,,,,
,1174,<MN>: 'Oh no, not again!',,,,,,
,1175,<MN>: 'Gloomgaze, I have failed you!',,,,,,
,1176,<MN>: 'How did you know my one weakness?',,,,,,
,1177,<MN>: 'No, please... Anything but a snowball!',,,,,,
,1178,<MN>: 'And I was only one day from retirement!',,,,,,
,1179,,,,,,,
,1180,,,,,,,
,1181,,,,,,,
,1182,,,,,,,
,1183,,,,,,,
,1184,<MN>: 'I will leach the soul from your body!',,,,,,
,1185,<MN> summons his minions!,,,,,,
,1186,,,,,,,
,1187,<MN>: 'Your bodies will wither before me!',,,,,,
,1188,<MN>: 'Your wretched lives will sate my hunger!',,,,,,
,1189,<MN>: 'All will be consumed in the fires of war!',,,,,,
,1190,<MN>: 'In me, you will find your death!',,,,,,
,1191,<MN>: 'Donn, my master! Do not forsake me now!',,,,,,
,1192,<MN>: 'No! I will not submit to the likes of you!',,,,,,
,1193,<MN>: 'Fight, I say! If I am to die, I will take you with me!',,,,,,
,1194,<MN>: 'Not yet, master! I am not ready to meet my end!',,,,,,
,1195,<MN> calls for aid!,,,,,,
,1196,,,,,,,
,1197,,,,,,,
,1198,,,,,,,
,1199,The <MN> begins to gather energy.,,,,,,
,1200,,,,,,,
,1201,AGILE 100,,,,,,
,1202,AGILE 60,,,,,,
,1203,AGILE 20,,,,,,
,1205,POWER 80,,,,,,
,1206,POWER 40,,,,,,
,1207,The guards have been alerted!,,,,,,
,1208,EXIT AGILE 100,,,,,,
,1209,EXIT AGILE 60,,,,,,
,1210,EXIT POWER 80,,,,,,
,1211,EXIT POWER 40,,,,,,
,1212,<MN>: 'Ah, some foolish flies, come to the web of Urchaid.',,,,,,
,1213,<MN>: 'Why fight mortals? You will all be food for my children.',,,,,,
,1214,<MN>: 'No, not like this! I will not be defeated!',,,,,,
,1215,<MN>: 'Ah, some foolish flies, come to the my web.',,,,,,
,1216,<MN>: 'Why fight mortals? You will all be food for Urchaid's children.',,,,,,
,1217,<MN>: 'No, not like this! I will not be defeated!',,,,,,
,1218,<MN>: 'Ah, some foolish flies, come to the my web.',,,,,,
,1219,<MN>: 'Why fight mortals? You will all be food for Urchaid's children.',,,,,,
,1220,<MN>: 'No, not like this! I will not be defeated!',,,,,,
,1221,<MN>: 'I was once like you, now I am with the spiders.',,,,,,
,1222,<MN>: 'You will not refuse Urchaid. I will show you your folly.',,,,,,
,1223,,,,,,,
,1224,,,,,,,
,1225,,,,,,,
,1226,,,,,,,
,1227,,,,,,,
,1228,,,,,,,
,1229,<MN>:'Swarm to me, spiderkin!',,,,,,
,1230,,,,,,,
,1231,,,,,,,
,1232,,,,,,,
,1233,,,,,,,
,1234,,,,,,,
,1235,,,,,,,
,1236,,,,,,,
,1237,,,,,,,
,1238,,,,,,,
,1239,,,,,,,
,1240,,,,,,,
,1241,,,,,,,
,1242,,,,,,,
,1243,,,,,,,
,1244,,,,,,,
,1245,,,,,,,
,1246,,,,,,,
,1247,,,,,,,
,1248,,,,,,,
,1249,,,,,,,
,1250,,,,,,,
,1251,,,,,,,
,1252,,,,,,,
,1253,,,,,,,
,1254,,,,,,,
,1255,,,,,,,
,1256,,,,,,,
,1257,,,,,,,
,1258,,,,,,,
,1259,,,,,,,
,1260,,,,,,,
,1261,,,,,,,
,1262,,,,,,,
,1263,,,,,,,
,1264,,,,,,,
,1265,,,,,,,
,1266,,,,,,,
,1267,Proteus winds up a powerful attack.,,,,,,
,1268,,,,,,,
,1269,,,,,,,
,1270,,,,,,,
,1271,,,,,,,
,1272,The <MN> begins to gather energy.,,,,,,
,1273,,,,,,,
,1274,Gelebron summons his servants!,,,,,,
,1275,<MN> becomes enraged!,,,,,,
,1276,,,,,,,
,1277,,,,,,,
,1278,SENTINEL RESPONSE,,,,,,
,1279,,,,,,,
,1280,gel eshield OLD REMOVE SCRIPT,,,,,,
,1281,,,,,,,
,1282,,,,,,,
,1283,<MN> calls his guards!,,,,,,
,1284,<MN> calls his guards!,,,,,,
,1285,<MN> calls his guards!,,,,,,
,1286,<MN> calls his guards!,,,,,,
,1287,<MN> calls its guards!,,,,,,
,1288,<MN> calls his guards!,,,,,,
,1289,<MN> calls its pack!,,,,,,
,1290,<MN> calls his guards!,,,,,,
,1291,<MN> calls his guards!,,,,,,
,1292,<MN> calls his guards!,,,,,,
,1293,<MN> calls its guards!,,,,,,
,1294,<MN> calls his guards!,,,,,,
,1295,<MN> calls its guards!,,,,,,
,1296,<MN> calls its guards!,,,,,,
,1297,Guards rush to defend the chest!,,,,,,
,1298,The Knights defend their charge.,,,,,,
,1299,,,,,,,
,1300,<MN> calls for help!,,,,,,
,1301,,,,,,,
,1302,,,,,,,
,1303,,,,,,,
,1304,,,,,,,
,1305,,,,,,,
,1306,,,,,,,
,1307,,,,,,,
,1308,,,,,,,
,1309,,,,,,,
,1310,,,,,,,
,1311,,,,,,,
,1312,gel shield tle OLD REMOVE SCRIPT,,,,,,
,1313,gel shield con OLD REMOVE SCRIPT,,,,,,
,1314,Guards rush to defend the chest!,,,,,,
,1315,,,,,,,
,1316,,,,,,,
,1317,,,,,,,
,1318,,,,,,,
,1319,,,,,,,
,1320,,,,,,,
,1321,,,,,,,
,1322,Gelebron's own powers are turned against him!,,,,,,
,1323,Gelebron prepares his barrier!,,,,,,
,1324,,,,,,,
,1350,,,,,,,
,1351,,,,,,,
,1352,,,,,,,
,1353,,,,,,,
,1354,,,,,,,
,1355,,,,,,,
,1356,,,,,,,
,1357,,,,,,,
,1358,,,,,,,
,1359,<MN> begins to smoulder.,,,,,,
,1360,Frost forms over <MN>s branches.,,,,,,
,1361,<MN> crackes with magical energy.,,,,,,
,1362,,,,,,,
,1363,The sound of the <MN> being smashed draws in the surrounding monsters!,,,,,,
,1364,sydney briar is alive,,,,,,
,1365,I hear ya!,,,,,,
,1366,you are dead,,,,,,
,1367,activating...,,,,,,
,1368,KILL SELF,,,,,,
,1369,KILL SELF,,,,,,
,1370,KILL SELF,,,,,,
,1371,KILL SELF,,,,,,
,1372,KILL SELF,,,,,,
,1373,,,,,,,
,1374,,,,,,,
,1375,,,,,,,
,1376,<MN> calls for aid!,,,,,,
,1377,,,,,,,
,1378,,,,,,,
,1379,,,,,,,
,1380,,,,,,,
,1381,,,,,,,
,1382,,,,,,,
,1383,,,,,,,
,1384,You ignite the fire to signal your victory!,,,,,,
,1385,,,,,,,
,1386,inam,,,,,,
,1387,,,,,,,
,1388,,,,,,,
,1389,,,,,,,
,1390,,,,,,,
,1391,,,,,,,
,1392,,,,,,,
,1393,,,,,,,
,1394,,,,,,,
,1395,,,,,,,
,1396,,,,,,,
,1397,,,,,,,
,1398,Baby Bear calls for help!,,,,,,
,1399,,,,,,,
,1400,,,,,,,
,1401,,,,,,,
,1402,,,,,,,
,1403,,,,,,,
,1404,,,,,,,
,1405,,,,,,,
,1406,,,,,,,
,1407,,,,,,,
,1408,,,,,,,
,1409,,,,,,,
,1410,,,,,,,
,1411,,,,,,,
,1412,<MN> calls for help!,,,,,,
,1413,,,,,,,
,1414,,,,,,,
,1415,,,,,,,
,1416,,,,,,,
,1417,,,,,,,
,1418,,,,,,,
,1419,,,,,,,
,1420,,,,,,,
,1421,,,,,,,
,1422,,,,,,,
,1423,,,,,,,
,1424,,,,,,,
,1425,,,,,,,
,1426,Hit by spell,,,,,,
,1427,,,,,,,
,1428,,,,,,,
,1429,,,,,,,
,1430,,,,,,,
,1431,,,,,,,
,1432,,,,,,,
,1433,,,,,,,
,1434,,,,,,,
,1435,<MN> calls for help!,,,,,,
,1436,Proteus: 'Damage sustained. Attempting repairs.',,,,,,
,1437,Proteus: 'Repairs complete.',,,,,,
,1438,,,,,,,
,1439,Proteus calls for help!,,,,,,
,1440,,,,,,,
,1441,,,,,,,
,1442,,,,,,,
,1443,<MN> calls for help!,,,,,,
,1444,,,,,,,
,1445,,,,,,,
,1446,,,,,,,
,1447,,,,,,,
,1448,<MN> calls for help!,,,,,,
,1449,,,,,,,
,1450,,,,,,,
,1451,,,,,,,
,1452,,,,,,,
,1453,,,,,,,
,1454,,,,,,,
,1455,,,,,,,
,1456,,,,,,,
,1457,,,,,,,
,1458,,,,,,,
,1459,,,,,,,
,1460,,,,,,,
,1461,,,,,,,
,1462,,,,,,,
,1463,,,,,,,
,1464,,,,,,,
,1465,,,,,,,
,1466,,,,,,,
,1467,,,,,,,
,1468,,,,,,,
,1469,,,,,,,
,1470,,,,,,,
,1471,,,,,,,
,1472,,,,,,,
,1473,,,,,,,
,1474,,,,,,,
,1475,,,,,,,
,1476,The Emberdrake casts its eye on another.,,,,,,
,1477,,,,,,,
,1478,,,,,,,
,1479,,,,,,,
,1480,,,,,,,
,1481,,,,,,,
,1482,,,,,,,
,1483,,,,,,,
,1484,,,,,,,
,1485,,,,,,,
,1486,,,,,,,
,1487,,,,,,,
,1488,,,,,,,
,1489,,,,,,,
,1491,,,,,,,
,1492,<MN> calls for help!,,,,,,
,1493,,,,,,,
,1494,,,,,,,
,1495,,,,,,,
,1496,,,,,,,
,1497,,,,,,,
,1498,,,,,,,
,1499,,,,,,,
,1500,,,,,,,
,1501,,,,,,,
,1502,,,,,,,
,1504,,,,,,,
,1505,A Shroud of Decay begins to apparate.,,,,,,
,1506,The futility of mortal struggle will never cease to anger me.,,,,,,
,1507,Archlich Thanasis: 'Embrace the pain of eternity!',,,,,,
,1508,A pocket of residual Godly energy begins to form nearby.,,,,,,
,1509,,,,,,,
,1510,,,,,,,
,1511,,,,,,,
,1512,,,,,,,
,1513,,,,,,,
,1514,,,,,,,
,1515,,,,,,,
,1516,,,,,,,
,1517,Archlich Thanasis: 'Embrace the pain of eternity!',,,,,,
,1518,Archlich Thanasis: 'Embrace the pain of eternity!',,,,,,
,1519,A pocket of residual Godly energy begins to form nearby.,,,,,,
,1520,A pocket of residual Godly energy begins to form nearby.,,,,,,
,1521,Archlich Thanasis begins to utter an incantation of ancient origin.,,,,,,
,1522,Archlich Thanasis begins to utter an incantation of ancient origin.,,,,,,
,1523,Archlich Thanasis begins to utter an incantation of ancient origin.,,,,,,
,1524,Auraxis: 'Impressive heroes I've been waiting centuries for a worthy sacrifice.',,,,,,
,1525,Auraxis begins to prepare the Sacrificial Chamber.,,,,,,
,1526,A dark force pulls you into the Sacrificial Chamber.,,,,,,
,1527,,,,,,,
,1528,The immense energy exuding from Auraxis sends the environment in the cavern into a state of flux.,,,,,,
,1529,,,,,,,
,1530,Auraxis begins to siphon your power as the beginning of a dark ritual.,,,,,,
,1531,,,,,,,
,1532,,,,,,,
,1533,,,,,,,
,1534,,,,,,,
,1535,,,,,,,
,1536,,,,,,,
,1537,,,,,,,
,1538,,,,,,,
,1539,,,,,,,
,1540,,,,,,,
,1541,,,,,,,
,1542,,,,,,,
,1543,,,,,,,
,1544,,,,,,,
,1545,,,,,,,
,1546,,,,,,,
,1547,,,,,,,
,1548,,,,,,,
,1549,,,,,,,
,1550,The Ritual of Sacrifice has ended.,,,,,,
,1551,,,,,,,
,1552,Auraxis: 'You will make excellent additions to my Reaver Army',,,,,,
,1553,,,,,,,
,1555,,,,,,,
,1556,,,,,,,
,1557,,,,,,,
,1558,,,,,,,
,1559,,,,,,,
,1560,,,,,,,
,1561,,,,,,,
,1562,,,,,,,
,1563,,,,,,,
,1564,,,,,,,
,1565,,,,,,,
,1566,,,,,,,
,1567,,,,,,,
,1568,,,,,,,
,1569,,,,,,,
,1570,,,,,,,
,1571,,,,,,,
,1572,,,,,,,
,1573,,,,,,,
,1574,,,,,,,
,1575,,,,,,,
,1576,,,,,,,
,1577,The sands beneath Auraxis' feet begin to shift erratically,,,,,,
,1578,,,,,,,
,1579,The sands beneath Auraxis' feet begin to shift erratically,,,,,,
,1580,,,,,,,
,1581,The sands beneath Auraxis' feet begin to shift erratically,,,,,,
,1582,,,,,,,
,1583,The sands beneath Auraxis' feet begin to shift erratically,,,,,,
,1584,,,,,,,
,1585,The sands beneath Auraxis' feet begin to shift erratically,,,,,,
,1586,,,,,,,
,1587,The sands beneath Auraxis' feet begin to shift erratically,,,,,,
,1588,,,,,,,
,1589,The sands beneath Auraxis' feet begin to shift erratically,,,,,,
,1590,,,,,,,
,1591,The sands beneath Auraxis' feet begin to shift erratically,,,,,,
,1592,,,,,,,
,1593,The sands beneath Auraxis' feet begin to shift erratically,,,,,,
,1594,,,,,,,
,1595,1,,,,,,
,1596,,,,,,,
,1597,,,,,,,
,1598,,,,,,,
,1599,,,,,,,
,1600,,,,,,,
,1601,,,,,,,
,1602,,,,,,,
,1603,,,,,,,
,1604,,,,,,,
,1605,,,,,,,
,1606,,,,,,,
,1607,,,,,,,
,1608,<MN> calls for help!,,,,,,
,1609,<MN> calls for help!,,,,,,
,1610,<MN> gathers electrical energy.,,,,,,
,1611,,,,,,,
,1612,<MN> continues to gather electrical energy.,,,,,,
,1613,<MN> continues to gather electrical energy.,,,,,,
,1614,<MN> has reached the pinnacle of its power.,,,,,,
,1615,<MN> synthesizes with the surrounding razor vines.,,,,,,
,1616,,,,,,,
,1617,,,,,,,
,1618,,,,,,,
,1619,,,,,,,
,1620,,,,,,,
,1621,,,,,,,
,1622,,,,,,,
,1623,,,,,,,
,1624,,,,,,,
,1625,,,,,,,
,1626,<MN> continues to synthesize with the surrounding razor vines.,,,,,,
,1627,<MN> continues to synthesize with the surrounding razor vines.,,,,,,
,1628,<MN> continues to synthesize with the surrounding razor vines.,,,,,,
,1629,<MN> continues to synthesize with the surrounding razor vines.,,,,,,
,1630,<MN> continues to synthesize with the surrounding razor vines.,,,,,,
,1631,<MN> gathers cold energy.,,,,,,
,1632,<MN> continues to gather cold energy.,,,,,,
,1633,<MN> continues to gather cold energy.,,,,,,
,1634,<MN> has reached the pinnacle of its power.,,,,,,
,1635,<MN> gathers heat energy.,,,,,,
,1636,<MN> continues to gather heat energy.,,,,,,
,1637,<MN> continues to gather heat energy.,,,,,,
,1638,<MN> has reached the pinnacle of its power.,,,,,,
,1639,<MN> gathers poison energy.,,,,,,
,1640,<MN> continues to gather poison energy.,,,,,,
,1641,<MN> continues to gather poison energy.,,,,,,
,1642,<MN> has reached the pinnacle of its power.,,,,,,
,1643,<MN> gathers natural energy.,,,,,,
,1644,<MN> continues to gather natural energy.,,,,,,
,1645,<MN> continues to gather natural energy.,,,,,,
,1646,<MN> has reached the pinnacle of its power.,,,,,,
,1647,<MN> gathers chaotic energy.,,,,,,
,1648,<MN> continues to gather chaotic energy.,,,,,,
,1649,<MN> continues to gather chaotic energy.,,,,,,
,1650,<MN> has reached the pinnacle of its power.,,,,,,
,1651,,,,,,,
,1652,<MN> convulses and sprays corrosive bile onto the surrounding platform.,,,,,,
,1653,,,,,,,
,1654,,,,,,,
,1655,,,,,,,
,1656,,,,,,,
,1657,,,,,,,
,1658,,,,,,,
,1659,,,,,,,
,1660,,,,,,,
,1661,,,,,,,
,1662,,,,,,,
,1663,,,,,,,
,1664,,,,,,,
,1665,,,,,,,
,1666,,,,,,,
,,,,,,,,
,,,,,,,,
character_effects,65537,Protective Stance,,,,,1,1
,131074,Recuperate,,,,,2,2
,196611,Strangling Vines,,,,,3,3
,262148,Howling Wind,,,,,4,4
,327685,Grasping Roots,,,,,5,5
,393222,Cloak of Fire,,,,,6,6
,458759,Steady Aim,,,,,7,7
,524296,Speed Down,,,,,8,8
,589833,Hide,,,,,9,9
,655370,Rend,,,,,10,10
,720907,Temp Health Regen Boost,,,,,11,11
,786444,Temp Energy Regen Boost,,,,,12,12
,851981,Abundance,,,,,13,13
,917518,Shield of Bark,,,,,14,14
,983055,Natures Embrace,,,,,15,15
,1048592,Lure of Fire,,,,,16,16
,1114129,Lure of Ice,,,,,17,17
,1179666,Cosmic Shield,,,,,18,18
,1245203,Energy Well,,,,,19,19
,1310740,Frenzy,,,,,20,20
,1376277,Fast Reflexes,,,,,21,21
,1441814,Poison Weapon,,,,,22,22
,1507351,Camouflage,,,,,23,23
,1572888,Rapid Shot,,,,,24,24
,1638425,Barbed Shot,,,,,25,25
,1703962,Reduce Attack,,,,,26,26
,1769499,Meditation,,,,,27,27
,1835036,Energy Boost,,,,,28,28
,1900573,Invisibility Potion,,,,,29,29
,1966110,Invisibility Elixir,,,,,30,30
,2031647,Shrink Potion,,,,,31,31
,2097184,Shrink Elixir,,,,,32,32
,2162721,Growth Potion,,,,,33,33
,2228258,Growth Elixir,,,,,34,34
,2293795,Defence Boost Potion,,,,,35,35
,2359332,Defence Boost Elixir,,,,,36,36
,2424869,Armour Boost Potion,,,,,37,37
,2490406,Armour Boost Elixir,,,,,38,38
,2555943,Max Health Boost Potion,,,,,39,39
,2621480,Max Health Boost Elixir,,,,,40,40
,2687017,Max Energy Boost Potion,,,,,41,41
,2752554,Max Energy Boost Elixir,,,,,42,42
